"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Everest Re Group Ltd","0.42","EQUITY","RE","Mid Value","2006-09-30","246442","42","Financial Services","62741669","-","-","-","-","-","-","7.46","42.2","20.66","22.55","10909.74","USD","-","23.92","9.93","-","-","-"
"Avery Dennison Corp","0.41","EQUITY","AVY","Mid Value","2013-12-31","708524","3509","Industrials","62612266","-","-","-","-","-","-","11.71","22.41","26.96","26.29","8224.52","USD","2","33.74","21.84","-","-","-"
"AmerisourceBergen Corp","0.41","EQUITY","ABC","Mid Core","2013-06-30","654949","1260","Healthcare","61912329","-","-","-","-","-","-","-6.17","-7.55","2.87","17","17710.79","USD","4","4.31","21.05","-","-","-"
"AGNC Investment Corp","0.4","EQUITY","AGNC","Mid Value","2016-10-31","2844920","-8170","Real Estate","60568347","-","-","-","-","-","-","7.65","17.04","7.01","0.6","6948.66","USD","-","22.72","4.85","-","-","-"
"Camden Property Trust","0.4","EQUITY","CPT","Mid Core","2015-09-30","700923","-1905","Real Estate","59935926","-","-","-","-","-","-","10.52","12.47","11.83","8.88","7855.05","USD","-","8.36","19.87","-","-","-"
"ManpowerGroup Inc","0.4","EQUITY","MAN","Mid Value","2006-09-30","536456","-8305","Industrials","59895312","-","-","-","-","-","-","5.76","61.23","13.05","26.07","7263.31","USD","3","22.89","16.97","-","-","-"
"Owens-Corning Inc","0.4","EQUITY","OC","Mid Core","2013-06-30","894978","-3672","Basic Materials","59891928","-","-","-","-","-","-","14.41","29.89","27.49","19.08","7595.61","USD","-","33.26","19.63","-","-","-"
"Kimco Realty Corp","0.39","EQUITY","KIM","Mid Core","2006-09-30","3234139","4299","Real Estate","59346451","-","-","-","-","-","-","3.16","-31.5","1.42","4.66","8648.93","USD","4","-17.09","34.32","-","-","-"
"Mattel Inc","0.39","EQUITY","MAT","Mid Value","2006-09-30","2739416","1592","Consumer Cyclical","58979626","-","-","-","-","-","-","-11.02","-37.93","-12.56","-5.62","6511.8","USD","5","-28.28","27.14","-","-","-"
"The AES Corp","0.39","EQUITY","AES","Mid Value","2012-12-31","5279646","5432","Utilities","58656867","-","-","-","-","-","-","0.99","-6.93","-5.93","0.69","7314.4","USD","3","-1.55","-","-","-","-"
"KLA-Tencor Corp","0.38","EQUITY","KLAC","Mid Value","2015-03-31","626887","-3647","Technology","57366429","-","-","-","-","-","-","-11.35","18.45","15.62","17.15","13925.22","USD","3","14.27","14.83","-","-","-"
"Macy's Inc","0.38","EQUITY","M","Mid Value","2016-06-30","2440564","-8769","Consumer Cyclical","56718707","-","-","-","-","-","-","-18.13","-26.36","-22.22","-4.58","7095.01","USD","4","-32.83","12.59","-","-","-"
"CIT Group Inc","0.38","EQUITY","CIT","Mid Value","2013-06-30","1163106","-109290","Financial Services","56643262","-","-","-","-","-","-","2.43","42.59","0.29","5.72","6427.7","USD","-","11.95","-","-","-","-"
"Liberty SiriusXM Group C","0.37","EQUITY","LSXMK","Mid Growth","2016-04-30","1338158","-79441","Consumer Cyclical","55801189","-","-","-","-","-","-","18.37","30.9","-","-","15288.77","USD","-","29.39","36.55","-","-","-"
"Arrow Electronics Inc","0.37","EQUITY","ARW","Mid Value","2013-12-31","710497","-3216","Technology","55717175","-","-","-","-","-","-","6.06","24.35","11.1","17.85","7090.54","USD","3","11.94","14.62","-","-","-"
"PulteGroup Inc","0.37","EQUITY","PHM","Mid Core","2013-12-31","2270551","-20134","Consumer Cyclical","55696616","-","-","-","-","-","-","15.98","23.38","14.39","18.52","7723.74","USD","3","40.26","14.38","-","-","-"
"OGE Energy Corp","0.37","EQUITY","OGE","Mid Value","2009-06-30","1597030","-8239","Utilities","55560674","-","-","-","-","-","-","5.48","18.82","2.83","8.22","7171.38","USD","3","10.07","18.8","-","-","-"
"Voya Financial Inc","0.36","EQUITY","VOYA","Mid Core","2013-12-31","1486930","-36913","Financial Services","54852848","-","-","-","-","-","-","12.14","50.24","3.4","-","7349.85","USD","-","4.33","-","-","-","-"
"Kohl's Corp","0.35","EQUITY","KSS","Mid Value","2015-09-30","1378123","-36481","Consumer Cyclical","53292016","-","-","-","-","-","-","7.85","13.23","-3.98","-0.28","7141.47","USD","3","-12.94","12.28","-","-","-"
"Harris Corp","0.35","EQUITY","HRS","Mid Value","2009-06-30","487647","-512609","Technology","53192535","-","-","-","-","-","-","6.56","34.63","21.1","23.8","14000.51","USD","-","14.91","41.97","-","-","-"
"Staples Inc","0.35","EQUITY","SPLS","Mid Value","2013-06-30","5222549","-5191","Consumer Cyclical","52591068","-","-","-","-","-","-","7.23","17.85","0.19","-0.57","6688.62","USD","-","15.19","-","-","-","-"
"Jacobs Engineering Group Inc","0.35","EQUITY","JEC","Mid Value","2012-06-30","962824","-11643","Industrials","52367997","-","-","-","-","-","-","-3.65","-0.15","1.57","6.3","6314.14","USD","3","-7.14","30.51","-","-","-"
"CF Industries Holdings Inc","0.35","EQUITY","CF","Mid Value","2011-12-31","1864396","-1701","Basic Materials","52128512","-","-","-","-","-","-","20.1","55.9","-10.82","-1.85","7512.89","USD","2","4.22","-","-","-","-"
"FirstEnergy Corp","0.34","EQUITY","FE","Mid Value","2017-06-30","1774644","1774644","Utilities","51748619","-","-","-","-","-","-","12.33","1.76","5.77","-4.07","14248.84","USD","3","7.04","-","-","-","-"
"Foot Locker Inc","0.34","EQUITY","FL","Mid Value","2014-09-30","1049293","-15492","Consumer Cyclical","51709159","-","-","-","-","-","-","-35.23","-13.95","2.29","9.65","6433.86","USD","-","-29.62","10.04","-","-","-"
"Lamb Weston Holdings Inc","0.34","EQUITY","LW","Mid Value","2016-11-30","1167961","-4715","Consumer Defensive","51437002","-","-","-","-","-","-","6.17","-","-","-","6373.06","USD","-","16.73","19.65","-","-","-"
"News Corp A","0.34","EQUITY","NWSA","Mid Core","2013-09-30","3737902","-94797","Consumer Cyclical","51209257","-","-","-","-","-","-","12.33","12.4","-6.62","-","8311","USD","3","24.08","-","-","-","-"
"Fluor Corp","0.34","EQUITY","FLR","Mid Value","2013-06-30","1117567","-1246","Industrials","51162217","-","-","-","-","-","-","-20.42","-22.74","-16.44","-3.38","5604.34","USD","4","-22.92","50.08","-","-","-"
"WR Berkley Corp","0.33","EQUITY","WRB","Mid Value","2013-12-31","726954","-7421","Financial Services","50283408","-","-","-","-","-","-","2.44","21.35","17.52","14.94","8322.83","USD","3","4.35","14.57","-","-","-"
"Hubbell Inc","0.33","EQUITY","HUBB","Mid Core","2011-06-30","440068","-5210","Industrials","49802496","-","-","-","-","-","-","7.01","16.76","2.41","9.68","6524.91","USD","-","3.41","22.63","-","-","-"
