"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Performance Food Group Co","0.22","EQUITY","PFGC","Small Growth","2017-06-30","1260500","1260500","Consumer Defensive","34537700","27.7","-0.2|-0.72%","27.95-27.55","376125","29.25-19.95","United States","7.99","6.25","-","-","2873.61","USD","-","15.42","32.98","-","-","-"
"US Foods Holding Corp","0.22","EQUITY","USFD","Mid Growth","2017-06-30","1253200","1253200","Consumer Defensive","34112104","28.39","0.19|0.67%","28.45-28.09","1207712","30.73-22.19","United States","-0.42","19.79","-","-","6307.01","USD","-","3.31","28.2","-","-","-"
"Centennial Resource Development Inc A","0.22","EQUITY","CDEV","-","2017-03-31","2088900","-361700","Energy","33046398","15.75","0.27|1.74%","15.99-15.35","1947841","20.97-11.38","United States","-1.13","37.92","-","-","3942.08","USD","-","-20.13","-","-","-","-"
"DexCom Inc","0.21","EQUITY","DXCM","Mid Growth","2016-10-31","432100","0","Healthcare","31608115","71.14","0.4|0.57%","71.57-70.85","866915","96.38-57.68","United States","-5.62","-22.25","22.8","43.48","6157.95","USD","-","19.16","-","-","-","-"
"Blue Apron Cl B (180 Lockup)","0.2","EQUITY","-","-","2017-06-30","3603786","3603786","-","30293425","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","-","-","-"
"Redfin Corp Ser G Pc Pp","0.2","EQUITY","-","-","2015-08-31","6064833","0","-","30081572","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","-","-","-"
"Rokwader Inc","0.2","EQUITY","ROKR","-","2015-09-30","16562507","0","Industrials","29978138","0.67","-","0.67-0.67","2667","0.9-0.66","United States","0","-25.56","18.76","6.03","12.32","USD","-","1.52","-","-","-","-"
"Taboola.Com Ltd Ser E Pc Pp","0.19","EQUITY","-","-","2015-08-31","1918392","0","-","28814248","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","-","-","-"
"Paylocity Holding Corp","0.19","EQUITY","PCTY","Small Growth","2017-03-31","634647","-398453","Technology","28673351","43.98","-0.13|-0.29%","44.75-42.54","195728","49.65-29.69","United States","8.14","-5.07","31.66","-","2265.43","USD","-","46.55","488.67","-","-","-"
"Mulberry Health Ser A8 Pc Pp","0.18","EQUITY","-","-","2016-01-31","4342250","0","-","28050935","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","-","-","-"
"UMB Financial Corp","0.17","EQUITY","UMBF","Small Core","2014-07-31","353200","0","Financial Services","26440552","70.19","0.45|0.65%","74.97-70.16","130410","81.55-55.66","United States","-4.04","28.8","9.18","8.86","3499.07","USD","-","-8.32","19.94","-","-","-"
"NXP Semiconductors NV","0.17","EQUITY","NXPI","Large Growth","2015-10-31","241000","0","Technology","26377450","112.42","1.76|1.59%","112.79-111.75","5618270","112.79-80.13","China","5.28","33.44","21.47","38.2","38011.36","USD","-","14.7","20.33","-","-","-"
"Ross Stores Inc","0.17","EQUITY","ROST","Large Core","2012-11-30","456800","247400","Consumer Cyclical","26371064","55.86","0.99|1.8%","55.94-54.86","2400886","69.81-52.91","United States","-13.24","-8.2","20.94","11.26","21739.71","USD","4","-14.36","19.13","-","-","-"
"Netflix Inc","0.15","EQUITY","NFLX","Large Growth","2017-03-31","159100","-27600","Consumer Cyclical","23771131","180.27","1.04|0.58%","181-178.5","4491055","191.5-92.95","United States","14.64","92.93","43.99","87.88","77831.52","USD","1","45.61","219.84","-","-","-"
"23andme Ser E Pc Pp","0.14","EQUITY","-","-","2015-08-31","1817170","0","-","21351748","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","-","-","-"
"Qorvo Inc","0.14","EQUITY","QRVO","Mid Growth","2015-06-30","333400","-57700","Technology","21110888","66.62","-0.27|-0.4%","68.1-66.22","965633","79.34-48.28","United States","-0.6","24.73","-","-","8478.58","USD","3","26.34","-","-","-","-"
"Ionis Pharmaceuticals Inc","0.13","EQUITY","IONS","Mid Growth","2015-09-30","400502","6700","Healthcare","20373537","52.36","1.34|2.63%","52.44-50.6","676263","60.01-24.58","United States","9.36","42.94","18.56","34.09","6490.84","USD","3","9.47","-","-","-","-"
"Spark Therapeutics Inc","0.13","EQUITY","ONCE","Small Growth","2015-02-28","339690","0","Healthcare","20293081","76.96","0.11|0.14%","78.08-75.9","2519357","80.89-35.07","United States","30.68","31.8","-","-","2405.01","USD","-","54.23","-","-","-","-"
"Bank of America Corporation","0.13","EQUITY","BAC","Large Value","2014-07-31","823900","-142600","Financial Services","19987814","24.97","0.6|2.46%","25.08-24.65","105185588","25.8-14.7","United States","5.01","74.52","19.48","28.22","245968.98","USD","3","13.67","14.78","-","-","-"
"Extraction Oil & Gas Inc","0.13","EQUITY","XOG","-","2016-10-31","1478946","-256113","Energy","19891824","11.59","0.21|1.85%","11.79-11.31","1179661","25.08-11.31","United States","-20.53","-","-","-","1991.56","USD","-","-42.17","-","-","-","-"
"Twenty-First Century Fox Inc Class A","0.12","EQUITY","FOXA","Large Core","2017-05-31","671000","336200","Consumer Cyclical","19016140","28.46","-0.36|-1.25%","28.68-28.07","6273246","32.6-23.33","United States","-2","12.62","-2.3","7.05","52355.94","USD","4","2.14","17.35","-","-","-"
"Walt Disney Co","0.12","EQUITY","DIS","Large Core","2017-05-31","173900","160000","Consumer Cyclical","18476875","107.69","-1.43|-1.31%","108.5-107.32","8503787","116.1-90.32","United States","-2.43","14.81","8.84","18.05","168521.83","USD","4","4.08","18.76","-","-","-"
"Galapagos NV ADR","0.12","EQUITY","GLPG","Mid Growth","2015-05-31","239500","-41500","Healthcare","18326540","75.86","-1.15|-1.49%","76.47-75.34","90627","94.88-52.5","Belgium","-13.45","40.85","57.52","33.6","3894.82","USD","-","18.18","-","-","-","-"
"Dataminr Inc Ser D Pc Pp","0.11","EQUITY","-","-","2015-08-31","2219446","0","-","17622401","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","-","-","-"
"Coherus BioSciences Inc","0.11","EQUITY","CHRS","Small Growth","2015-06-30","1204416","17600","Healthcare","17283370","12.7","-0.05|-0.39%","13-12.5","285767","31.98-12.3","United States","-34.2","-54.79","-","-","651.36","USD","-","-54.88","-","-","-","-"
"Rolls-Royce Holdings PLC ADR","0.11","EQUITY","RYCEY","Large Core","2016-10-31","1442600","-249800","Industrials","16633178","12.48","-0.01|-0.11%","12.54-12.4","206171","13.1-7.9","United Kingdom","18.74","26.46","-9.73","0.53","23269.72","USD","2","52.26","-","-","-","-"
"Heron Therapeutics Inc","0.11","EQUITY","HRTX","Small Growth","2015-06-30","1183441","0","Healthcare","16390658","16.15","-0.2|-1.22%","16.62-16","315386","24-12.21","United States","5.56","-14.73","22.57","2.93","867.21","USD","-","23.28","-","-","-","-"
"Space Exploration Tech Corp Cl","0.1","EQUITY","-","-","2015-10-31","151477","0","-","15905085","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","-","-","-"
